task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,47,167,2.5875,53.1857,53.1857,51.9726,81.6919,53.1857,66.2318,53.1857,53.1857,46.5929,56.5503,92.5585,3.505442
2,48,168,2.6,52.0181,52.0181,51.616,81.7431,52.0181,65.2404,52.0181,52.0181,45.5704,55.8265,92.0762,3.691795
2,49,169,2.6125,52.169,52.169,51.9185,81.7237,52.169,65.3944,52.169,52.169,45.9594,55.931,92.1785,3.658273
2,50,170,2.625,52.3558,52.3558,51.9688,81.8163,52.3558,65.536,52.3558,52.3558,46.0546,56.1041,92.1419,3.67795
2,51,171,2.6375,51.7337,51.7337,51.6784,81.8443,51.7337,65.0602,51.7337,51.7337,45.3428,55.6711,91.8701,3.755364
2,52,172,2.65,51.7238,51.7238,42.3333,62.5251,51.7238,62.1867,51.7238,51.7238,42.2912,53.9693,87.9798,3.341516
2,53,173,2.6625,52.4363,52.4363,51.919,81.6521,52.4363,65.6113,52.4363,52.4363,46.1245,56.0803,92.4841,3.627616
2,54,174,2.675,52.1762,52.1762,51.8816,81.6384,52.1762,65.4577,52.1762,52.1762,45.9687,55.8882,92.456,3.65642
2,55,175,2.6875,51.4883,51.4883,51.6779,81.7802,51.4883,64.9846,51.4883,51.4883,45.1793,55.346,92.3934,3.807602
2,56,176,2.7,51.5256,51.5256,51.7966,81.6782,51.5256,65.0719,51.5256,51.5256,45.3962,55.2988,92.8148,3.762518
2,57,177,2.7125,51.9641,51.9641,51.8754,81.5739,51.9641,65.4254,51.9641,51.9641,45.8346,55.6251,92.9052,3.70863
2,58,178,2.725,51.6528,51.6528,51.8738,81.7474,51.6528,65.2071,51.6528,51.6528,45.5321,55.4619,92.6955,3.748567
2,59,179,2.7375,51.6182,51.6182,51.8859,81.7488,51.6182,65.2236,51.6182,51.6182,45.5228,55.3969,92.8747,3.765736
2,60,180,2.75,51.5987,51.5987,51.7665,81.8216,51.5987,65.1127,51.5987,51.5987,45.352,55.4725,92.4009,3.809072
2,61,181,2.7625,51.6521,51.6521,51.7843,81.8114,51.6521,65.1547,51.6521,51.6521,45.4051,55.5085,92.4662,3.804501
2,62,182,2.775,51.6206,51.6206,51.7304,81.7643,51.6206,65.1494,51.6206,51.6206,45.3928,55.4705,92.4841,3.801125
2,63,183,2.7875,51.5789,51.5789,51.7113,81.7531,51.5789,65.1282,51.5789,51.5789,45.3664,55.4203,92.5433,3.812774
2,64,184,2.8,51.6575,51.6575,51.8589,81.7727,51.6575,65.2117,51.6575,51.6575,45.5154,55.4899,92.6026,3.791411
2,65,185,2.8125,51.2104,51.2104,51.8861,82.6559,51.2104,64.7342,51.2104,51.2104,44.9172,55.1042,92.5273,3.930924
2,66,186,2.825,51.4294,51.4294,51.7429,81.8332,51.4294,64.9831,51.4294,51.4294,45.1829,55.2765,92.5807,3.868507
2,67,187,2.8375,51.5455,51.5455,51.7782,81.7864,51.5455,65.1122,51.5455,51.5455,45.3806,55.4191,92.5068,3.815106
2,68,188,2.85,51.8983,51.8983,51.8671,81.6364,51.8983,65.3932,51.8983,51.8983,45.7637,55.6356,92.766,3.738908
2,69,189,2.8625,51.6859,51.6859,51.8706,81.7562,51.6859,65.2336,51.6859,51.6859,45.5746,55.5083,92.6393,3.782946
2,70,190,2.875,52.1882,52.1882,51.9229,81.6164,52.1882,65.5741,52.1882,52.1882,46.0066,55.8391,92.8023,3.696612
2,71,191,2.8875,52.1772,52.1772,51.9069,81.6126,52.1772,65.5688,52.1772,52.1772,45.9933,55.8327,92.7933,3.700801
2,72,192,2.9,52.1932,52.1932,51.9563,81.6448,52.1932,65.5677,52.1932,52.1932,46.0329,55.8724,92.7285,3.700403
2,73,193,2.9125,52.0873,52.0873,51.9428,81.6509,52.0873,65.4893,52.0873,52.0873,45.9573,55.7913,92.7331,3.727674
2,74,194,2.925,51.5915,51.5915,51.7384,81.7884,51.5915,65.137,51.5915,51.5915,45.3827,55.467,92.4268,3.821421
2,75,195,2.9375,51.7193,51.7193,51.8511,81.6816,51.7193,65.2806,51.7193,51.7193,45.5961,55.5216,92.6814,3.770141
2,76,196,2.95,51.7037,51.7037,51.8492,81.6667,51.7037,65.2882,51.7037,51.7037,45.6108,55.4958,92.7443,3.766416
2,77,197,2.9625,51.4493,51.4493,51.7581,81.8591,51.4493,65.0182,51.4493,51.4493,45.226,55.3244,92.5014,3.865555
2,78,198,2.975,51.5541,51.5541,51.729,81.7711,51.5541,65.1089,51.5541,51.5541,45.3648,55.4264,92.4653,3.823126
2,79,199,2.9875,51.6546,51.6546,51.7702,81.7633,51.6546,65.2119,51.6546,51.6546,45.4641,55.4831,92.6053,3.798939
2,80,200,3.0,52.0018,52.0018,51.9268,81.6439,52.0018,65.4432,52.0018,52.0018,45.9075,55.7323,92.7005,3.729862
3,1,201,3.0125,53.4332,53.4332,34.0917,75.3252,53.4332,55.8745,53.4332,53.4332,33.0095,53.3208,89.8012,3.231725
3,2,202,3.025,53.1271,53.1271,42.291,77.7041,53.1271,60.8747,53.1271,53.1271,40.0564,55.3709,92.4499,3.133388
3,3,203,3.0375,55.207,55.207,38.1628,79.0671,55.207,59.0271,55.207,55.207,37.3514,56.6438,91.694,2.999658
3,4,204,3.05,55.552,55.552,38.9765,72.6914,55.552,61.8749,55.552,55.552,39.699,58.4721,87.2919,2.798811
3,5,205,3.0625,55.674,55.674,38.6065,79.6201,55.674,62.218,55.674,55.674,38.0652,58.0788,88.2879,2.791378
3,6,206,3.075,55.3441,55.3441,39.5696,79.7848,55.3441,62.2221,55.3441,55.3441,38.6946,58.1091,87.8835,2.762883
3,7,207,3.0875,55.1832,55.1832,37.8602,71.9129,55.1832,63.126,55.1832,55.1832,38.5717,58.0722,88.4249,2.780769
3,8,208,3.1,54.9828,54.9828,38.5242,72.1544,54.9828,62.9386,54.9828,54.9828,38.9683,57.9326,88.9312,2.776303
3,9,209,3.1125,55.0044,55.0044,38.2704,71.7532,55.0044,63.5124,55.0044,55.0044,39.0503,57.9421,88.8682,2.770174
3,10,210,3.125,55.1867,55.1867,37.7484,71.9129,55.1867,63.5168,55.1867,55.1867,38.3519,58.0913,88.3533,2.747282
3,11,211,3.1375,55.5007,55.5007,37.8597,72.4852,55.5007,63.4483,55.5007,55.5007,38.3663,58.6691,86.9255,2.697444
