task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,25,65,1.3125,60.3474,60.3474,61.3297,86.4516,60.3474,72.2312,60.3474,60.3474,54.2231,63.6825,76.0065,3.701683
1,26,66,1.325,59.3823,59.3823,61.2414,86.3888,59.3823,71.851,59.3823,59.3823,53.581,62.3575,79.3217,3.839854
1,27,67,1.3375,58.3755,58.3755,60.6997,85.8777,58.3755,71.3205,58.3755,58.3755,52.6274,60.6144,82.499,4.180128
1,28,68,1.35,59.3996,59.3996,60.9792,86.1359,59.3996,71.6852,59.3996,59.3996,53.5471,62.7456,76.9538,3.796566
1,29,69,1.3625,59.3205,59.3205,61.0047,86.0124,59.3205,71.7902,59.3205,59.3205,53.6589,62.6613,76.4168,3.836556
1,30,70,1.375,60.402,60.402,61.5524,86.1674,60.402,72.2638,60.402,60.402,54.796,63.995,73.5665,3.700076
1,31,71,1.3875,60.4658,60.4658,61.7714,86.4529,60.4658,72.3083,60.4658,60.4658,54.9433,64.5467,71.6325,3.770266
1,32,72,1.4,64.0575,64.0575,64.775,87.9377,64.0575,75.6318,64.0575,64.0575,59.5078,67.8746,71.7156,3.592071
1,33,73,1.4125,58.4456,58.4456,61.6813,86.1083,58.4456,71.8034,58.4456,58.4456,53.5005,60.0509,85.4518,3.877263
1,34,74,1.425,58.5431,58.5431,60.0728,82.7935,58.5431,70.8647,58.5431,58.5431,53.7303,61.9926,77.6934,3.888036
1,35,75,1.4375,60.9686,60.9686,63.7215,87.6175,60.9686,74.8389,60.9686,60.9686,57.0487,64.1916,78.5853,3.925157
1,36,76,1.45,60.3859,60.3859,63.7017,87.4738,60.3859,73.7014,60.3859,60.3859,56.5353,63.8783,78.9633,3.914178
1,37,77,1.4625,61.663,61.663,64.4529,87.8925,61.663,75.3553,61.663,61.663,58.0608,64.9945,77.8868,3.911773
1,38,78,1.475,58.9144,58.9144,61.4179,83.5698,58.9144,72.2323,58.9144,58.9144,55.3737,62.6614,80.5198,4.048891
1,39,79,1.4875,61.2701,61.2701,63.645,87.7865,61.2701,75.2422,61.2701,61.2701,56.7046,63.4828,83.3567,4.043412
1,40,80,1.5,61.9773,61.9773,64.7609,88.1211,61.9773,75.5311,61.9773,61.9773,58.206,64.7903,80.5766,3.982494
1,41,81,1.5125,62.091,62.091,65.1819,88.4378,62.091,75.6481,62.091,62.091,58.6258,65.348,79.5078,4.005767
1,42,82,1.525,60.186,60.186,63.2098,87.1812,60.186,73.6191,60.186,60.186,55.9053,63.0712,79.6929,4.00719
1,43,83,1.5375,62.0644,62.0644,64.9668,88.2885,62.0644,75.643,62.0644,62.0644,58.429,65.143,80.0143,4.021283
1,44,84,1.55,62.5926,62.5926,64.8911,88.1978,62.5926,75.9018,62.5926,62.5926,58.6477,65.6686,79.1881,3.992733
1,45,85,1.5625,62.5235,62.5235,65.0401,88.1938,62.5235,75.9146,62.5235,62.5235,58.7552,65.5086,79.7554,4.008343
1,46,86,1.575,60.7554,60.7554,63.4631,87.1238,60.7554,74.0145,60.7554,60.7554,56.4869,63.7084,78.7015,3.99654
1,47,87,1.5875,60.5439,60.5439,63.3028,87.0852,60.5439,73.8602,60.5439,60.5439,56.2142,63.4399,79.0995,3.996425
1,48,88,1.6,62.4938,62.4938,64.4995,87.9877,62.4938,75.8769,62.4938,62.4938,58.3072,65.4069,79.2062,3.996109
