task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,19,139,2.2375,53.4265,53.4265,47.2576,80.1361,53.4265,62.6655,53.4265,53.4265,44.4804,58.4037,82.1216,2.766912
2,20,140,2.25,53.4843,53.4843,47.9432,80.9535,53.4843,63.3623,53.4843,53.4843,44.4505,58.468,82.749,2.835247
2,21,141,2.2625,54.4672,54.4672,47.857,79.7381,54.4672,63.8151,54.4672,54.4672,45.0117,59.7629,79.2,2.777313
2,22,142,2.275,54.6508,54.6508,49.0757,80.9801,54.6508,64.8068,54.6508,54.6508,46.6527,59.4986,81.8408,2.822806
2,23,143,2.2875,54.2999,54.2999,46.8118,77.0472,54.2999,62.7232,54.2999,54.2999,44.2756,59.6553,77.7,2.700713
2,24,144,2.3,55.0272,55.0272,48.4293,80.1348,55.0272,63.6473,55.0272,55.0272,45.6666,60.3089,78.4938,2.743133
2,25,145,2.3125,53.7074,53.7074,49.3854,81.812,53.7074,64.6074,53.7074,53.7074,45.5639,58.7299,83.578,2.927321
2,26,146,2.325,53.4291,53.4291,49.2701,81.8468,53.4291,63.8681,53.4291,53.4291,45.0927,58.6806,83.0478,2.993483
2,27,147,2.3375,55.3046,55.3046,48.8449,80.8884,55.3046,64.3865,55.3046,55.3046,46.1661,60.9835,76.7642,2.843438
2,28,148,2.35,54.2687,54.2687,48.4366,80.2578,54.2687,63.2852,54.2687,54.2687,45.0779,59.6789,79.679,2.840264
2,29,149,2.3625,53.2849,53.2849,47.9426,79.9231,53.2849,63.1189,53.2849,53.2849,44.3607,58.5098,82.0804,2.935013
2,30,150,2.375,53.3907,53.3907,47.7145,74.4493,53.3907,63.0827,53.3907,53.3907,45.5177,58.5359,82.7132,2.998834
2,31,151,2.3875,54.8682,54.8682,48.3722,74.7547,54.8682,63.5859,54.8682,54.8682,46.3681,60.3057,77.7606,2.840869
2,32,152,2.4,53.6699,53.6699,48.416,80.0329,53.6699,63.3284,53.6699,53.6699,44.7913,58.6261,82.4863,3.028748
2,33,153,2.4125,53.66,53.66,49.4883,80.7164,53.66,64.4058,53.66,53.66,45.5463,58.8713,82.8206,3.038853
2,34,154,2.425,55.0211,55.0211,48.1778,79.7878,55.0211,63.2336,55.0211,55.0211,45.259,60.5812,76.9338,2.90683
2,35,155,2.4375,54.5238,54.5238,49.0411,75.2184,54.5238,64.2428,54.5238,54.5238,46.3789,59.9606,80.0429,2.935553
2,36,156,2.45,54.396,54.396,48.1978,75.4522,54.396,63.7977,54.396,54.396,46.0007,59.7312,80.1437,2.90444
2,37,157,2.4625,54.8294,54.8294,48.8527,75.4537,54.8294,63.6539,54.8294,54.8294,46.551,60.4811,77.6739,2.874037
2,38,158,2.475,52.2988,52.2988,49.7537,81.7458,52.2988,63.8592,52.2988,52.2988,45.0303,57.0381,87.1575,3.226909
2,39,159,2.4875,52.7642,52.7642,49.0267,80.7918,52.7642,63.5783,52.7642,52.7642,44.6093,57.5937,85.3633,3.151018
2,40,160,2.5,52.433,52.433,49.1445,81.0051,52.433,63.2631,52.433,52.433,44.959,57.2507,86.0132,3.152317
2,41,161,2.5125,53.1968,53.1968,49.3005,75.1817,53.1968,63.9914,53.1968,53.1968,45.7929,58.6514,82.9247,3.075366
2,42,162,2.525,53.3677,53.3677,49.2389,75.3655,53.3677,64.0665,53.3677,53.3677,45.9025,58.7815,82.9836,3.06028
2,43,163,2.5375,53.2775,53.2775,49.0727,75.3464,53.2775,63.8385,53.2775,53.2775,45.8035,58.6752,83.1416,3.069352
2,44,164,2.55,53.3842,53.3842,49.5905,80.2819,53.3842,64.0925,53.3842,53.3842,45.3853,58.707,82.7446,3.059212
2,45,165,2.5625,53.4994,53.4994,49.1154,75.3251,53.4994,64.198,53.4994,53.4994,45.9477,58.9379,82.5051,3.067857
2,46,166,2.575,53.4511,53.4511,49.1182,75.4343,53.4511,64.141,53.4511,53.4511,45.9035,58.8787,82.7367,3.071766
2,47,167,2.5875,53.2515,53.2515,48.9137,75.3072,53.2515,63.7557,53.2515,53.2515,45.7328,58.6124,83.3208,3.089514
2,48,168,2.6,52.5851,52.5851,48.3064,74.3347,52.5851,63.439,52.5851,52.5851,45.4461,57.6883,85.3695,3.126519
2,49,169,2.6125,53.29,53.29,49.0315,75.3812,53.29,63.9489,53.29,53.29,45.8037,58.6781,83.2133,3.108131
2,50,170,2.625,53.0184,53.0184,48.6966,74.9612,53.0184,63.7773,53.0184,53.0184,45.6605,58.268,84.2258,3.121701
2,51,171,2.6375,53.3065,53.3065,48.9505,75.3094,53.3065,64.0117,53.3065,53.3065,45.8122,58.6669,83.2747,3.108242
2,52,172,2.65,53.4393,53.4393,49.0582,75.5007,53.4393,64.108,53.4393,53.4393,45.8464,58.868,82.7262,3.103262
2,53,173,2.6625,53.4145,53.4145,49.1223,75.4616,53.4145,64.1419,53.4145,53.4145,45.915,58.8443,82.7756,3.106914
2,54,174,2.675,53.3905,53.3905,49.0569,75.4403,53.3905,64.0449,53.3905,53.3905,45.9066,58.8235,82.7719,3.12268
2,55,175,2.6875,52.0074,52.0074,48.1339,73.059,52.0074,63.3099,52.0074,52.0074,45.4916,56.8927,87.2049,3.192518
2,56,176,2.7,52.3275,52.3275,48.4555,73.926,52.3275,63.4312,52.3275,52.3275,45.4458,57.2905,86.5967,3.184433
2,57,177,2.7125,53.1301,53.1301,48.8979,75.1288,53.1301,63.8248,53.1301,53.1301,45.7617,58.4366,83.8515,3.162782
2,58,178,2.725,52.1362,52.1362,48.3064,73.586,52.1362,63.4302,52.1362,52.1362,45.4408,57.0321,87.156,3.211581
2,59,179,2.7375,51.9688,51.9688,48.2851,73.0647,51.9688,63.3146,51.9688,51.9688,45.4841,56.8058,87.5632,3.223666
2,60,180,2.75,52.7158,52.7158,48.69,74.5822,52.7158,63.5113,52.7158,52.7158,45.5122,57.8454,85.3514,3.191473
2,61,181,2.7625,52.125,52.125,48.3208,73.2255,52.125,63.4949,52.125,52.125,45.5071,56.9902,87.3006,3.237705
2,62,182,2.775,53.0712,53.0712,48.8621,74.9708,53.0712,63.799,53.0712,53.0712,45.8086,58.3305,84.2242,3.19579
2,63,183,2.7875,53.2671,53.2671,49.0978,75.3418,53.2671,64.0154,53.2671,53.2671,45.8652,58.637,83.4167,3.160999
2,64,184,2.8,53.5199,53.5199,49.211,75.2522,53.5199,64.1726,53.5199,53.5199,45.9526,59.0489,81.9011,3.141759
2,65,185,2.8125,53.3244,53.3244,49.1085,75.3688,53.3244,64.0875,53.3244,53.3244,45.9157,58.717,83.2071,3.164799
2,66,186,2.825,53.4471,53.4471,49.3042,75.2809,53.4471,64.1642,53.4471,53.4471,46.0415,58.9188,82.5042,3.157598
2,67,187,2.8375,53.4005,53.4005,49.1832,75.3608,53.4005,64.1039,53.4005,53.4005,46.0192,58.8293,82.8243,3.160686
2,68,188,2.85,53.3125,53.3125,49.1419,75.3984,53.3125,63.9597,53.3125,53.3125,45.9395,58.7032,83.2828,3.171032
